reviewId,rating,reviewHeadline,reviewContent,reviewDate
Lenovo A2010,4 stars,GOOD PHONE,its good phone with amazing facilities its working as per it mentioned processor seem to be low but after four months it never gets hang even one time only problem is camera and battery it stands for only one day its best one handed use phone 6 users found this review helpful helpful?,"01 Dec 2015,"
Lenovo A2010,No rating,Review Title,heating problem 0 users found this review helpful helpful?,"20 Feb 2016,"
Lenovo A2010,No rating,Review Title,heating problem 0 users found this review helpful helpful?,"20 Feb 2016,"
Lenovo A2010,4 stars,My 1st Lenovo Phone,"Thanks Flipkart for early delivery!!! Looks wise its great. Light Weight. Display is good, It comes along with screen guard. Can operate using one hand easily. Earphones are present in the box, don't worry... Removable battery. Charger cum USB, but its not long enough! Camera is OK.. Still good at this price with torch. After getting this, you will have to upgrade it immediately for smooth functioning. It takes some time. I would say the best phone below Rs.5000/- with 4G & Lollipop!!! 125 users found this review helpful helpful?","04 Sep 2015,"
Lenovo A2010,5 stars,Lenovo A2010 4G Budget mobile,Display is good. Battery backup is good. Camera is ok. Speed is good. Overall its nice mobile. Worthy for money. 53 users found this review helpful helpful?,"06 Sep 2015,"
Micromax X601,5 stars,Five Stars,Good phone 2 users found this review helpful helpful?,"09 May 2016,"
Micromax X601,1 stars,"Junk piece sent,not working,Total cheating .","Most horrible,defective and not working piece sent.it seems micro max selling with out any quality check Totally dispoinred . Returning ,I am taking it as most seriously,it is nothing but cheating by sending without quality check . This type of cases should be taken to consumer forum/court of law . 2 users found this review helpful helpful?","11 Jan 2016,"
Micromax X601,5 stars,Good Quality Mobile,this mobile is very usefull for low class people..... Very good helping mind..... keep it up......... 2 users found this review helpful helpful?,"25 Oct 2015,"
Micromax X601,5 stars,Awesome Phone,Best phone under 1K !! simply go for it pros>> awesome battery life charges quickly nice call quality cons>> no cons :) 2 users found this review helpful helpful?,"21 Oct 2015,"
Micromax X601,5 stars,I like it.....,Really amazing phone in this range. If you are going for looks than it is little bit different from images . keys areas are totally different from image shown on website. And also on this phone box rate of this phone is Rs.1199 but I buy it @ Rs.1189. I hope it is little bit high. But this phone is very good for old people or who want to use it only for calling. Camera is basic not good just showing. Good point is dual stand by Sim .overally if you want a phone in between Rs.1000 to Rs.1500 then I suggest this phone. 1 users found this review helpful helpful?,"09 May 2016,"
Samsung Metro B350E,1 stars,One Star,NOT WORKING 19 users found this review helpful helpful?,"28 Apr 2016,"
Samsung Metro B350E,5 stars,simple with Good display and light weight,Phone is simple with Good display and light weight 14 users found this review helpful helpful?,"27 Mar 2016,"
Samsung Metro B350E,5 stars,good in low budget.,my mom liked this very much. 14 users found this review helpful helpful?,"04 Feb 2016,"
Samsung Metro B350E,5 stars,Good mobile. Good battery life,Good mobile. Good battery life. Arrived in good condition 8 users found this review helpful helpful?,"09 May 2016,"
Samsung Metro B350E,4 stars,i like the phone and she just loves it,I bought this phone for my mother. i like the phone and she just loves it... But only problem i faced that was about delivery.. Other wise the phone is good.. 7 users found this review helpful helpful?,"12 Apr 2016,"
Lava Iris Atom 2,5 stars,VERY GOOD & SATISFACTORY MOBILE IN BUDGET,"its an awsome mobile recently purchesed. till now i am very comfortable to use it. initially i hesitate to purchase it because of such new product in market but later on i realized my decision was perfect. best thing in that mobile is it provides wider range of service centres in case if it may go wrong.. you will get complete informations about nearest service centre in mobile app itself. best design, elegant look, perfectly handy product, rich colour display, 3G support, not hang during using any kind of app... before it i was having Google Nexus 5 which ws better in speed which was having 2 GB RAM, lava atom 2 contain 512 mb RAM which is slightly low in speed as compare to nexus5.... over all this mobile is good if u want budget smartphone... 8 users found this review helpful helpful?","03 Sep 2015,"
Lava Iris Atom 2,4 stars,Very Good in this pruxe range.,Beat for call only with smart phone touch. Nice product.( dont install more apps). 7 users found this review helpful helpful?,"09 May 2016,"
Lava Iris Atom 2,3 stars,Three Stars,Good 6 users found this review helpful helpful?,"23 Apr 2016,"
Lava Iris Atom 2,1 stars,waste product. not nice in 2 hrs started hanging ...,waste product . not nice in 2 hrs started hanging nd waste 6 users found this review helpful helpful?,"07 Apr 2016,"
Lava Iris Atom 2,5 stars,Five Stars,Good product.... I think ... In less amount ... Good benefit for us.. Good quality of this product .. 6 users found this review helpful helpful?,"05 Mar 2016,"
Xiaomi Redmi Note 2 Prime,4 stars,nitin patle india,Please launch Redmi Note 2 Hanset as early as possible in Indian Market for Online Buyers I am also waiting to buy this product as early as possible so please ... 23 users found this review helpful helpful?,"08 Dec 2015,"
Xiaomi Redmi Note 2 Prime,5 stars,amazing,Can u please tell me that when will this phone available in india 10 users found this review helpful helpful?,"02 Dec 2015,"
Xiaomi Redmi Note 2 Prime,4 stars,nice mobile,"I waiting for this mobile's .. When comes in India..., 9 users found this review helpful helpful?","05 Dec 2015,"
Xiaomi Redmi Note 2 Prime,3 stars,Average,Not Expandable Memory. Heating problem 8 users found this review helpful helpful?,"15 Dec 2015,"
Xiaomi Redmi Note 2 Prime,4 stars,Great phone but...,No screen protection like Corning glass 8 users found this review helpful helpful?,"09 Dec 2015,"
Lava Flair P1i,1 stars,Don't buy,Don't buy this phone. I ever seen worst phone like this. 5 users found this review helpful helpful?,"14 Mar 2016,"
Lava Flair P1i,1 stars,worst phone,"Don't buy this phone. There is no internal memory at all. You can't use it without sd card. Battery goes down 10% in 2 mints even without sim card, WiFi games anything .. Bluetooth is not detected. Don't buy it 4 users found this review helpful helpful?","20 Oct 2015,"
Lava Flair P1i,1 stars,This is worst phone I ever had,This is worst phone I ever had. Faced lot of problem with this phone. Customer service of the Amazon is very poor. They can't help me out from the problem and eventually I am using that useless phone. 1 users found this review helpful helpful?,"14 Apr 2016,"
Lava Flair P1i,1 stars,Worst Product,"Every Phone with 256 ROM and 512 RAM is just shit. I don't know that why these companies make these kind of products. May be to fool the consumers, that they are providing the high technology at such a low price. What about the configuration, If you are making a smartphones then make it better for low price. What will do a person with 256 ROM and 512 RAM. Today only Facebook app needs a memory up to 100 MB. Who will give this answer. This product is just a shame for the company. 1 users found this review helpful helpful?","01 Sep 2015,"
Lava Flair P1i,4 stars,Worth less Product,"I read online that the Lava Flair P1i comes with a 1 GHz processor and 256 MB RAM, which means that this phone will be able to handle multi-tasking with ease. The phone also comes with a 2 MP rear camera with LED flash and front VGA camera which is decent in its price category. 1 users found this review helpful helpful?","19 Aug 2015,"
Panasonic T45 4G,No rating,VERY BAD,PANASONIC MOBILE T45 I PURCHASE IN 23.3.2016 AND CREATE ANTHITHFT PASSWORD BUT NO REMINDER I SEND TO PIMPRI OFFICE PUNE THIS MOBILE THEY ARE NEW SOFTWARE CREATE MOBILE .BUT SOME2 DAYS SIM NOT WORK NO RANGE AND IMEI NO BRUST .LATER THAN 27.4.2016 GIVE N TO AKURDI PUNE OFFICE BUT THISE IS NOT SOLVE PROBLEM SO VERY BAD PHONE THEY SEND COMPANY . Pros 4G LIKE Cons ANTHITHEFT NO PSRFETY TRULY MY MOBILE NOT WORKING PURCHASING 1 MONT AGO 0 users found this review helpful helpful?,"05 May 2016,"
Panasonic T45 4G,5 stars,Five Stars,Best 2 users found this review helpful helpful?,"13 Apr 2016,"
Panasonic T45 4G,4 stars,Four Stars,good 2 users found this review helpful helpful?,"08 Mar 2016,"
Panasonic T45 4G,5 stars,Five Stars,Is it a 3 or 4g network 2 users found this review helpful helpful?,"21 Sep 2015,"
Panasonic T45 4G,5 stars,Five Stars,Good 1 1 users found this review helpful helpful?,"07 Mar 2016,"
Karbonn Titanium S109,3 stars,nice phone,"the phone is good,but for this mobile there is no back cover..please have a back cover for this mobile on flipkart 1 users found this review helpful helpful?","06 Jan 2016,"
Karbonn Titanium S109,1 stars,Filed Consumer complaint against Karbonn Mobile.,"Dear friends Karbonn Mobile is the worst company in India. Such companies should be banned in our country. Don't buy anything from it. All the phones are of bad quality. I had purchased Titanium S3 2 years back after referred by two friends. My phone starts giving trouble on 5th day. I tried to resolve my problem with buyer ( Reliance Digital Korum Mall) and service center. But all invain. On 15th day my phone got switched off. I submitted this phone to service centre. After too many follow ups they didn't do anything. I had already filed consumer complaint. But 2years now still no result. You think yourself before buying karbonn products, what do you want to buy, mobile phone or consumer court. 1 users found this review helpful helpful?","04 Oct 2015,"
Karbonn Titanium S109,5 stars,Nice product,its is a good mobile 0 users found this review helpful helpful?,"12 May 2016,"
Karbonn Titanium S109,1 stars,One Star,Dont have this product it's accesary's like back cover and tempers glass 0 users found this review helpful helpful?,"26 Apr 2016,"
Karbonn Titanium S109,4 stars,Well done micro,Very nice phone and nice look but 1 problem battery backup us too short only 12 hours 0 users found this review helpful helpful?,"28 Mar 2016,"
Lava KKT Alpha+,4 stars,Four Stars,user friendly and economical 1 users found this review helpful helpful?,"07 Apr 2016,"
Lava KKT Alpha+,3 stars,four Stars,Must I agree four mobile shopping to this app standard bettary backup 1 users found this review helpful helpful?,"01 Oct 2015,"
Lava KKT Alpha+,1 stars,waste,Not good 0 users found this review helpful helpful?,"22 Jan 2016,"
Lava KKT Alpha+,5 stars,Five Stars,It is a nice product. Everything up to my expectations. Long battery. Good sound quality in earphones. 0 users found this review helpful helpful?,"06 Jan 2016,"
Lava KKT Alpha+,5 stars,Five Stars,"Good Battery life, budget mobile price 0 users found this review helpful helpful?","30 Dec 2015,"
Intex Eco 102,4 stars,solid phone...,Go for it.. Perfect handset for making phone calls and battery backup is awesome. 144 users found this review helpful helpful?,"14 May 2016,"
Intex Eco 102,5 stars,Five Stars,very good phone and nice backup 144 users found this review helpful helpful?,"13 May 2016,"
Intex Eco 102,4 stars,Value for money,"Good option if you are looking for a basic set with BT, MP3, Video, FM,Camera,Sound recorder and ear phone 144 users found this review helpful helpful?","12 May 2016,"
Intex Eco 102,4 stars,Satisfied,Don't have vibrate option. Difficult to use in silent mode. All other things are good. 144 users found this review helpful helpful?,"11 May 2016,"
Intex Eco 102,4 stars,Four Stars,good phone 144 users found this review helpful helpful?,"09 May 2016,"
Intex Aqua Sense 5.0,5 stars,the best phone,Very very good phone no hang no lag camera very good I thought 512mb ram can hang but intex keep it up 0 users found this review helpful helpful?,"05 Feb 2016,"
Intex Aqua Sense 5.0,5 stars,Excellent Product,I like thise mobile. Rajumona. five 0 users found this review helpful helpful?,"03 Mar 2016,"
Intex Aqua Sense 5.0,5 stars,wonderfull cell,It is very good cell.charging is good.very fast net.so coolest cell. 0 users found this review helpful helpful?,"20 Nov 2015,"
Intex Aqua Sense 5.0,1 stars,c 9 alkapuri,Sagar public school saket nagar bhopal 0 users found this review helpful helpful?,"29 Oct 2015,"
Intex Aqua Sense 5.0,4 stars,awsome,you have given a good offer for a good mobile it includes all app so it is good mobile you can handle easily 0 users found this review helpful helpful?,"26 Oct 2015,"
Intex Cloud Pace,5 stars,Spectacular Phone with Spectacular Offers,"This phone comes with 2GB RAM & 16 GB Internal Memory. It has a sandstone finish, Mediatek QuadCore. This phone is exclusive on ShopClues. Shopclues is offering everything that a person would aspire for with a smartphone for free. 1. Callmate PowerBank 2. Hitech Memory Card 16GB 3. Infyshield 1 year Accidental Warranty 4.Tampered Glass 5.Case Cover 6. Selfie Stick with Aux Cable 7. Aircel 3G Data Pack 8. Go Ibibo 1500 Rs Off Offer Pros 2GB RAM 32GB ROM(16 GB Internal + 16GB Memory Card) Accidental + Manufacturer Warranty HotKnot Gesture Sensor Cons Screen Size is 4.5&#34; 3 users found this review helpful helpful?","11 Aug 2015,"
Intex Cloud Pace,5 stars,First Online Purchase,My First Online purchase was By Flipkart . I bought Intex Cloud Pace Mobile and I m enjoying that...... 0 users found this review helpful helpful?,"21 May 2016,"
Intex Cloud Pace,5 stars,very nice mobile at low price,very nice mobile @ low price 0 users found this review helpful helpful?,"25 Apr 2016,"
Intex Cloud Pace,1 stars,Third class Product,Thius a third class product 0 users found this review helpful helpful?,"13 Apr 2016,"
Intex Cloud Pace,1 stars,veera naga sekhar,"the product i was bought over heating , camera quality was poor and battery was quickly discharing 0 users found this review helpful helpful?","07 Apr 2016,"
Zen M82,4 stars,zen m82,Give me the seller address i Will pick- up the item 0 users found this review helpful helpful?,"01 Dec 2015,"
Zen M82,1 stars,available of zen m82 cdma gsm,Your seller are unable to sell the said items in our destination. So i request you kindly find out the seller who will reach the item in my pin-700057 thanks 0 users found this review helpful helpful?,"01 Dec 2015,"
Zen M82,5 stars,GOOD DISPLAY AWESOME PHONE,good basic phone for CDMA+GSM users. It works well with MTS cdma sim card. Voice clarity is very good. display and keys are very good. I bought this phone from snapdeal and delivered on time. Thanks Snapdeal. 0 users found this review helpful helpful?,"08 Dec 2015,"
Zen M82,4 stars,NICE CDMAGSM PHONE,ZEN M82 IS A NICE CDMA+GSM PHONE IN ITS PRICE RANGE. 0 users found this review helpful helpful?,"08 Oct 2015,"
Zen M82,4 stars,good,"now I am purchasing this product, status is good 0 users found this review helpful helpful?","15 Sep 2015,"
Panasonic Eluga Icon,4 stars,best in class,This phone is outstanding because camera battery and wi-fi range is best in class comp. then the other phones 2 users found this review helpful helpful?,"13 Feb 2016,"
Panasonic Eluga Icon,5 stars,superb phone,I am happy to this phone I am soooooo happy..... Thinks panasonic 2 users found this review helpful helpful?,"13 Feb 2016,"
Panasonic Eluga Icon,5 stars,Very useful,Panasonic eluga icon is very use full phone but some time its hangdup 2 users found this review helpful helpful?,"28 Nov 2015,"
Panasonic Eluga Icon,1 stars,Attention Buyers ! Many 5 Star Reviews here are Made Up look for Verified Purchase Reviews,"First of all this is Not a Review. I am putting this here so that people buying can realize that all 5 Star / 4 Star 'Awesome' Reviews here are made up reviews and you can Guess who left them here. I googled many of the 5 Star Reviewers name left here and found many linkedin profiles that stated they work for Panasonic India. Wait for a Review by some Tech websites before buying this thing. Panasonic Eluga Icon do have some cool specs..a big 3500mAh Battery.. but it is still running on Android Kitkat. This has identical specs to the Alcatel Flash Plus. I wouldn't be surprised if this is just a rebranded version of the same. Edit : This post was made when there was plenty of 5 Star Reviews when the device wasn't even in Stock. Since many have purchased this now, check out the ""Verified Purchase"" reviews to see how good this device is. 153 users found this review helpful helpful?","10 Aug 2015,"
Panasonic Eluga Icon,1 stars,Attention buyers!!!!!!!!!! There's something fishy here,First of all this is Not a Review......Totally agree with you MAC(India). I think most and probably all the 5 star reviews are from panasonic employees only.As i have checked everyone's profile it seems that it is the first item they rated on amazon. theres something fishy!!!!!!! As said by MAC(India)...Wait for a Review by some Tech websites before buying this thing. I would definitely review this device after i get a handson. 39 users found this review helpful helpful?,"11 Aug 2015,"
Asus Zenfone 2 Deluxe 128GB,1 stars,for GOD sake don't buy it,I have bought this mobile about 20 days back and suddenly camera has stopped working and phone has started restarting itself and lots of other troubling happening even I'm unable to pickup call touch has stopped working 2 users found this review helpful helpful?,"19 Oct 2015,"
Asus Zenfone 2 Deluxe 128GB,5 stars,Asus zenfone,GOOD LOOKS.FAST PROCESSOR.HUGE MEMORY.EXPANDABLE TOO...LOVED it......... 1 users found this review helpful helpful?,"27 Nov 2015,"
Asus Zenfone 2 Deluxe 128GB,5 stars,Excellent,Superb phone ..it will never hanged..camera clarity is superb 0 users found this review helpful helpful?,"10 Feb 2016,"
Asus Zenfone 2 Deluxe 128GB,1 stars,Not so great,Not a value for money product. Very average performance & poor camera. ASUS need to do a lot to improve their product. Got carried away to buy this product - just by the advertisement in Flipkart 0 users found this review helpful helpful?,"04 Jan 2016,"
Asus Zenfone 2 Deluxe 128GB,5 stars,"Amazing phone, Value for money",Amazing mobile. Very fast and loaded with good features and of you are coming from Samsung flagship phones you'll be definitely be satisfied. The quick charging using boostmaster charger is a real saviour. And the fast and responsive UI deserves a mention. The limitation of second sim and slow charging using other chargers are the drawbacks. 0 users found this review helpful helpful?,"11 Nov 2015,"
Asus Zenfone 2 Laser ZE550KL 3GB RAM,4 stars,good fone,A very handy and goo looking. Pros camera Cons very fast focusing 13 users found this review helpful helpful?,"05 Dec 2015,"
Asus Zenfone 2 Laser ZE550KL 3GB RAM,5 stars,sexiest phone,Besrt phone ever screen neither lags nor heats .........one can buy this phone and can't have any negative issue about this 5 users found this review helpful helpful?,"02 Dec 2015,"
Asus Zenfone 2 Laser ZE550KL 3GB RAM,5 stars,awesome,nice Pros no issue Cons 4 users found this review helpful helpful?,"29 Jan 2016,"
Asus Zenfone 2 Laser ZE550KL 3GB RAM,4 stars,same wapsite shows fack price,Zopper is shows The fack price. They show The ram 3gb but The actual ram is 2gb it means to 1 gb less. 3 users found this review helpful helpful?,"06 Feb 2016,"
Asus Zenfone 2 Laser ZE550KL 3GB RAM,4 stars,good mobile,Mobile is but it is out of budget if it's pric is 9500 so please tell me. 2 users found this review helpful helpful?,"07 Feb 2016,"
Xiaomi Redmi 2 Prime,5 stars,Specifications of xiaomi redmi 2 prime,"Gr8 budget mobile phone under 7000/- Osmm look & everything abt phone Pros Nyc design, gr8 look, Big RAM, Quad core processor, Gorilla glass protection...Excellent camera & it&#39;s features, HD , sharp display...Good value for money... Cons Battery is not as much good as only 2200 mAH ...1.2 ghz processor...only 2mp front camera..Otherwise all is Excellent 36 users found this review helpful helpful?","13 Aug 2015,"
Xiaomi Redmi 2 Prime,1 stars,Redmi 2 prime is Good to Buy??,fkin it is good or bad???????????? 3 users found this review helpful helpful?,"07 Dec 2015,"
Xiaomi Redmi 2 Prime,5 stars,mast,very nice phone 3 users found this review helpful helpful?,"26 Oct 2015,"
Xiaomi Redmi 2 Prime,4 stars,niCe phone,Gud 2 users found this review helpful helpful?,"06 Dec 2015,"
Xiaomi Redmi 2 Prime,3 stars,mini heating machine,My phone was very heating 2 users found this review helpful helpful?,"03 Dec 2015,"
Asus Zenfone Max ZC550KL,No rating,Acca Hai,Here Otg Support? 7 users found this review helpful helpful?,"27 Jan 2016,"
Asus Zenfone Max ZC550KL,4 stars,Asus Zenfone Max FUll Detailed Review,"Taiwanese electronics company Asus has made it’s Asus Zenfone Max available to buy last week. Asus Zenfone Max was showcased earlier in August of 2015 but wasn’t available to buy that time. Zenfone Max is now available on online as well as offline retail stores. Launched at the beginning of this month, Asus Zenfone Max ZC550KL‘s biggest highlight is it’s very powerful battery. Zenfone Max ZC550KL has a whooping 5000mAh battery which can also work as a Power bank. Asus Zenfone Max is packed by a big 5000mAh long-lasting Battery which will let you do more online, watch longer video and talk as much as you want. With 5000mAh battery capacity Zenfone Max turns into an inbuilt power bank that allows you to charge other devices on the go with a USB on-the-go (OTG) cable. Asus Zenfone Max promises to deliver upto 37.6 hrs 3G talktime, upto 32.5 hrs Browsing, upto 22.6 hrs Video Playback ........Continue Reading....Asus Zenfone Max Full Review 5 users found this review helpful helpful?","24 Jan 2016,"
Asus Zenfone Max ZC550KL,No rating,Acca Hai,2 users found this review helpful helpful?,"27 Jan 2016,"
Asus Zenfone Max ZC550KL,5 stars,Asus hits the Sweet spot! Ideal companion for everyone,"Zenfone Max is true to its name. # Build quality: 10/10 Top notch # Battery longevity : 10/10 2 days backup on very heavy usage. In fact it can serve as power bank for other devices in case the need be. # Display : 9/10 Crisp and accurate. Ideal for reading mails or e-books or movies. # Zen UI : 9/10 One of the best custom android UI out there. Quite amendable to one's tastes. # Touch responsivess : 10/10 Absolutely spot on # Processor : 8/10 Not the best processor but ideal for normal users. Almost lacking any lag or delay in day to day use. # Heating issue : 10/10 No heating at all. Mi users please take note this is simply in an another league. Mi phones though serve the unintended purpose of heater in winters. # Value for money : 10/10 Absolute gem for the 9999 price paid. No premium being paid for the powerhouse inside. About Asus : NOT CHINESE, it is a TAIWANESE multinational brand who holds the expertise in computing since years. And are well placed and here to stay for years. Service centers are easily available in most nooks and corners of the country. 5000 mAh battery is class leading and it doesnt make the device as bulky as one one would expect. In fact, owing to nice weight distribution, it doesnt feel that heavy to hold. DJ's VERDICT: 9/10 You would love to own one and they way it holds on charge for a long period, it is an ideal PARTNER IN CRIME for many. ------------------- Please Hit Like to encourage DJ. :) read more ? 73 users found this review helpful helpful?","14 Jan 2016,"
Asus Zenfone Max ZC550KL,5 stars,Five Stars,the product is good 64 users found this review helpful helpful?,"25 Jan 2016,"
Asus Zenfone Selfie 32GB,5 stars,very very good,Selfie is the best from all smart phone in below 20000 rupees 13 users found this review helpful helpful?,"09 Dec 2015,"
Asus Zenfone Selfie 32GB,5 stars,best phone ever,"Low price , best camera best performance Better battery.. overall 5 on 5 5 users found this review helpful helpful?","06 Feb 2016,"
Asus Zenfone Selfie 32GB,5 stars,asus zenfone selfie,"bought a asus selfie phone...first thanks to flipkart for correct delivery on time...nice phone with 3 gb ram and camera quality is vry good..music is good..no lagg..its faster...gaming is good.,battery is decent,..superb display quality,nice model....cons-phone is little heavy......overall phone is very good..... 33 users found this review helpful helpful?","16 Sep 2015,"
Asus Zenfone Selfie 32GB,5 stars,Great buy in midrange price.....,"I will first answer some of the misconceptions about phone which are given in some reviews - 1) We can put 2 sims AND a sd card.. It doesnt have hybrid sim as pointed out by some. Remove the battery and you will notice that the slot has 2 compartments, one for sim and other for SD card. And Another sim card slot is clearly visible on right side of back. 2) Many said that camera is not upto the mark, but I think they just know how to press click button only. There are many options for clicking pictures in many scenario. Camera is really good considering the price. What were you expecting?? DSLR type pics... Mobile camera doesn't have much manual control and many things like OIS are only provided in high end mobiles. Believe me, camera of this mobile is very very good. You will notice the difference if you will compare pics by other mobiles in the same price range. 3) Some are even saying that there is no charger in the box. You can see charger lying in the box. Why people are giving absurd reviews. Now, here's the review of this mobile - Display - display is awesome. Also gorilla glass 4 is provided. No need of using screen guard and making the screen look dull. Also fingerprints proof because of oleophobic coating. Front Camera - Front camera is really good. It is 13mp but pics will not look like as if they are taken from 13mp mobile camera. But the pics you get from the front camera of this mobile are really great. They are not like the 5mp type of other mobiles. You will really love the front camera. Quality is really great and even dual tone flash is provided in front camera. If you take too much pics with front camera then strictly speaking, buy this mobile. Period. Rear camera - It is 13mp with dual tone flash (don't confuse dual tone with 2 led flash) and some features like laser focus are not found in other mobiles below 20,000. Now, point and click will give you nice pictures but if you want quality pictures than use the manual control and many features like in depth pic, manual mode and others. Some features are really awesome like if you are taking pic in a busy place and someone passes from front of you than there is a option which remove these type of things and there are many features like this. Don't expect pictures to be like as they come in DSLR. If mobiles were able to take that kind of quality pics then why people will buy DSLR. Mobile camera is not for professional photography but only to do the job of capturing some epic moments in life. RAM - you will get at max like 2100 mb free and there will always be like 700mb free even if you open many apps. So to use whole of the free ram, you have to open many apps and rarely someone opens more than 10 apps simultaneously. Ram will not cause any issue unlike my last samsung mobile. ZEN UI - I personally don't like the look of zen ui and also not in the mood of installing other launchers. But you can make zen ui look great by making few changes in the settings and downloading some good icon pack. Now, my ui is looking completely differenet as comapred to what factory settings provided. Battery - Now, this is where mobile let you down. Considering full hd display and a very nice processor, it was expected that battery consumption will be more. In standby mode, battery will hardly show any sign of depletion. In my case, battery went down to 2% only in 2.5 hours in stand by mode but while using things like wifi and others, consumption will be fast. But ultra saving mode is also provided by asus. And, I was using mobile in 90% brightness, if you will lower it then it may last long. I think on an average it will last 18-24 hours considering you use it normally. Also charging the battery takes time, it is where asus let this mobile down. But, even moto play battery is down in a day considering they provided 3650 mah battery. So, better option is Asus, I think. Processor - you can search about the snapdragon 615 processor in google, Period. Internal space - you will get 22-23gb free space from 32 gb provided. Build factor - I personally like the volume buttons on back and it doesnt feel like cheap mobile. Few cons - 1) You will not feel the lag anywhere expect while viewing photos after clicking them. Mobile takes some time processing it. 2) Battery may be a problem for some but not for normal user. Few Pros - 1) Front camera is really really awesome. 2) Display + Gorilla Glass 4 + Oleophobic coating. Period. read more ? 32 users found this review helpful helpful?","16 Sep 2015,"
Asus Zenfone Selfie 32GB,5 stars,awesome phone,good quality of picture rocking sound best for selfie smooth n styles phone display super but no head set with phone 26 users found this review helpful helpful?,"16 Sep 2015,"
Asus Zenfone 2 Deluxe,5 stars,Beast Phone,Awesome Phone. Got a very powerful processor. Delivery was damn quick by flipkart. Reached within a day of placing order.Touch screen is very nice and hd resolution is just awesome. Buy it without even thinking. Its worth it! 18 users found this review helpful helpful?,"31 Aug 2015,"
Asus Zenfone 2 Deluxe,5 stars,Having an awesome time with the Flag Ship Killer,"Phone is amazing. Battery life is good. I mean be practical, Dont expect it to stay on for 48 hours !! For this price and the hardware it comes for more than 24 hours which is pretty good. Will edit the review if the phone changes its current behaviour Flipkart, Kudos for your delivery time. 9 users found this review helpful helpful?","31 Aug 2015,"
Asus Zenfone 2 Deluxe,5 stars,Best Best Best,Best Phone Under 23k. Beauty is on hand. About this phone: -Battery: life is good. it almost run 2 days with normal usage. -Camera : Picture Quality is Impressive. Pixel master Camera Really Best .Night mod Is Awesome. Too many Functions In Zen camera. All Works Perfectly awesome. No Compromise. -Display: Display is Full HD. Touch is very smoth and responsive. Glove mod is also available. reading mod works good. -ZenUI: Excellent. Lovely awesome. No Words. All Over The Phone is best. No compromise. And main parts of this review is the asus support. if any question or problem you just go to asus support and chat online with the asus service they are so responsive and excellent service. No lag no hang. yes phone is heat normally while you charging because there is fast charging feature. phone is normally takes 0 to 60 % in just 40-45 minutes. after 80 to 100% it takes too much time. all over .0 to 100% in just 1:45 to 1:55 minutes. Don't think Just buy it. 6 users found this review helpful helpful?,"14 Sep 2015,"
